Data Source: Data Downloads Tools in the Climate Toolbox (https://climatetoolbox.org/tool/data-download),,,,,,,,
Download Date: 12/31/2022,,,,,,,,
,,,,,,,,
Product: Historical Climate (Monthly) - TerraClimate(http://www.climatologylab.org/terraclimate.html) ,,,,,,,,
"Location (Lat/Lon of 4-km Grid Cell Center): 30.0625 North,70.8125 East ",,,,,,,,
Variable List: ,,,,,,,,
tmax: tmax (Maximum Temperature),,,,,,,,
tmin: tmin (Minimum Temperature),,,,,,,,
ppt: ppt (Precipitation),,,,,,,,
soil: soil (Soil Moisture),,,,,,,,
ws: ws (Wind Speed),,,,,,,,
q: q (Runoff),,,,,,,,
********************************************************,,,,,,,,
Year,Month,tmax(degC),tmin(degC),ppt(mm),soil(mm),ws(mps),q(mm),Flood
1958,1,22.95,7.13,5.8,1.8,0.81,0.3,FALSE
1958,2,24.6,8.79,1.6,1.8,1.41,0.1,FALSE
1958,3,31,14.77,1.4,1.7,1.81,0.1,FALSE
1958,4,38.57,22.08,0.3,1.6,2.1,0,FALSE
1958,5,40.25,23.32,1.4,1.6,2.65,0.1,FALSE
1958,6,42.46,27.09,3.7,1.5,2.08,0.2,FALSE
1958,7,38.94,29.27,35.1,1.5,1.72,1.8,FALSE
1958,8,38.73,27.95,8.5,1.5,1.44,0.4,FALSE
1958,9,36,25.24,9.5,1.4,1.64,0.5,FALSE
1958,10,34.42,18.52,0.3,1.4,1.07,0,FALSE
1958,11,28.51,10.81,0.6,1.3,0.81,0,FALSE
1958,12,23.41,6.97,38.2,1.3,0.66,1.9,FALSE
1959,1,20.85,4.73,20.9,1.3,1.1,1,FALSE
1959,2,23.07,7.42,7,1.2,1.42,0.3,FALSE
1959,3,32.23,14.52,2.7,1.2,1.96,0.1,FALSE
1959,4,36.21,19.95,10.1,1.2,2.04,0.5,FALSE
1959,5,39.76,23.75,10.6,1.2,2.82,0.5,FALSE
1959,6,41.97,28.24,1.5,1.1,2.81,0.1,FALSE
1959,7,37.62,27.55,81.3,1.1,2.02,4.1,TRUE
1959,8,37.55,27.56,29.1,1.1,1.94,1.5,FALSE
1959,9,36.8,25.9,23.1,1.1,1.41,1.2,FALSE
1959,10,35.96,20.45,2.3,1,0.97,0.1,FALSE
1959,11,28.49,10.09,3.5,1,0.92,0.2,FALSE
1959,12,23.15,4.97,2.4,1,0.89,0.1,FALSE
1960,1,21.27,4.9,3.4,1,1.31,0.2,FALSE
1960,2,28.36,10.57,1,1,1.28,0.1,FALSE
1960,3,27.9,12.27,13,0.9,2.14,0.7,FALSE
