Year,Month,Day,Data,tmmn(degC),tmmx(degC),pr(mm),rmin(%),rmax(%),vs(mps),vpd(kPa),flood
1979,1,1,1/1/1979,-3.75,11.75,3.8,64.3,98.7,6.2,0.29,FALSE
1979,1,2,1/2/1979,-8.45,-0.65,0,24.5,87.6,6.3,0.26,FALSE
1979,1,3,1/3/1979,-8.25,3.85,0,29,76.8,1.5,0.34,FALSE
1979,1,4,1/4/1979,-5.55,7.85,0.7,29.7,58.8,3.1,0.41,FALSE
1979,1,5,1/5/1979,-0.15,7.95,13.6,39,100,3.1,0.22,FALSE
1979,1,6,1/6/1979,1.35,9.35,35.5,71.6,100,2.7,0.22,FALSE
1979,1,7,1/7/1979,-2.55,7.55,10.1,59.3,100,4.9,0.18,FALSE
1979,1,8,1/8/1979,-6.55,1.65,0,33.5,86.6,4.8,0.25,FALSE
1979,1,9,1/9/1979,-6.95,4.65,0,29.6,76.1,1.6,0.37,FALSE
1979,1,10,1/10/1979,-5.65,7.25,0,31.1,63.5,3.1,0.38,FALSE
1979,1,11,1/11/1979,-3.75,9.95,0,43.7,82.9,4,0.4,FALSE
1979,1,12,1/12/1979,-2.75,10.85,0.3,50.1,94.7,2.4,0.24,FALSE
1979,1,13,1/13/1979,-2.25,20.35,0.5,51.6,100,5.7,0.63,FALSE
1979,1,14,1/14/1979,-7.85,1.55,0,30,94.2,6,0.28,FALSE
1979,1,15,1/15/1979,-7.75,7.95,0,31.3,72.2,3,0.43,FALSE
1979,1,16,1/16/1979,-4.15,16.15,0.6,36.3,93.9,4.2,0.38,FALSE
1979,1,17,1/17/1979,8.05,21.15,10.4,59.3,100,3.8,0.56,FALSE
1979,1,18,1/18/1979,12.05,18.65,26.9,57,100,2.6,0.41,FALSE
1979,1,19,1/19/1979,12.25,19.35,117.5,67.8,100,5.5,0.3,FALSE
1979,1,20,1/20/1979,7.25,19.65,56.5,62.4,100,5.1,0.3,FALSE
1979,1,21,1/21/1979,-0.35,9.85,2.9,52.1,100,7.2,0.4,FALSE
1979,1,22,1/22/1979,-2.95,9.25,8.7,46.7,87.5,3.7,0.31,FALSE
1979,1,23,1/23/1979,-1.45,14.45,8.5,58.7,100,7.2,0.37,FALSE
1979,1,24,1/24/1979,-4.65,5.15,0.4,35,100,6.9,0.34,FALSE
1979,1,25,1/25/1979,-4.15,8.45,7.5,30.3,78.1,2.3,0.41,FALSE
1979,1,26,1/26/1979,-3.05,2.35,33.1,36,100,3.2,0.13,FALSE
1979,1,27,1/27/1979,-2.85,8.65,0.7,48.7,100,4.4,0.31,FALSE
1979,1,28,1/28/1979,-4.75,5.15,0,41.3,90.8,4.4,0.29,FALSE
1979,1,29,1/29/1979,-2.95,4.05,0.8,43.7,74.4,2.3,0.26,FALSE
1979,1,30,1/30/1979,-2.25,4.05,20.9,50.8,100,2.1,0.14,FALSE
1979,1,31,1/31/1979,-1.85,2.85,0,46.2,100,6,0.27,FALSE
1979,2,1,2/1/1979,-4.25,5.95,0,32.6,61,2.7,0.41,FALSE
1979,2,2,2/2/1979,-1.45,8.95,9.5,36.3,58.7,3.4,0.38,FALSE
1979,2,3,2/3/1979,3.65,14.05,6.4,54.9,97.4,1.6,0.32,FALSE
1979,2,4,2/4/1979,5.15,10.55,0.8,51.5,88,3.5,0.33,FALSE
1979,2,5,2/5/1979,0.95,6.65,8.5,53.8,89.1,5,0.33,FALSE
1979,2,6,2/6/1979,0.45,6.65,24.7,60.2,94.5,3.8,0.2,FALSE
1979,2,7,2/7/1979,0.05,8.35,0.3,59,96.6,4.4,0.29,FALSE
1979,2,8,2/8/1979,-1.75,12.95,0,49.7,86.4,4.4,0.41,FALSE
1979,2,9,2/9/1979,-5.25,4.95,0,35,81.9,5.1,0.36,FALSE
1979,2,10,2/10/1979,-4.25,10.15,0,28.3,64.4,1.8,0.54,FALSE
1979,2,11,2/11/1979,-1.45,15.55,0,29.8,67.6,3.1,0.6,FALSE
1979,2,12,2/12/1979,2.05,18.65,0,48.2,81.1,3.2,0.51,FALSE
1979,2,13,2/13/1979,8.75,18.65,0,55.5,83.2,2.4,0.58,FALSE
